"Date","Price","Open","High","Low","Change %"
"Dec 13, 2020","331.01","354.47","354.47","354.47","-8.91%"
"Dec 06, 2020","363.39","380.51","380.51","380.51","2.53%"
"Nov 29, 2020","354.42","380.35","380.35","380.35","-7.05%"
"Nov 22, 2020","381.32","367.51","367.51","367.51","2.65%"
"Nov 15, 2020","371.48","398.09","398.09","398.09","-6.67%"
"Nov 08, 2020","398.02","525.37","525.37","525.37","-22.64%"
"Nov 01, 2020","514.49","553.79","553.79","553.79","-6.26%"
"Oct 25, 2020","548.87","509.35","509.35","509.35","8.37%"
"Oct 18, 2020","506.48","519.32","519.32","519.32","-4.27%"
"Oct 11, 2020","529.09","504.42","504.42","504.42","0.77%"
"Oct 04, 2020","525.07","515.25","515.25","515.25","2.11%"
"Sep 27, 2020","514.23","568.37","568.37","568.37","-7.93%"
"Sep 20, 2020","558.51","512.35","512.35","512.35","10.28%"
"Sep 13, 2020","506.45","512.36","512.36","512.36","-1.15%"
"Sep 06, 2020","512.34","505.37","505.37","505.37","-1.84%"
"Aug 30, 2020","521.94","521.94","521.94","521.94","-1.31%"
"Aug 23, 2020","528.89","549.53","549.53","549.53","-4.96%"
"Aug 16, 2020","556.49","562.91","562.91","562.91","4.12%"
"Aug 09, 2020","534.49","576.10","576.10","576.10","-10.23%"
"Aug 02, 2020","595.42","556.14","556.14","556.14","6.15%"
"Jul 26, 2020","560.95","492.19","492.19","492.19","16.31%"
"Jul 19, 2020","482.28","516.54","516.54","516.54","-6.61%"
"Jul 12, 2020","516.44","516.84","516.84","516.84","-0.26%"
"Jul 05, 2020","517.80","477.12","477.12","477.12","10.74%"
"Jun 28, 2020","467.58","487.17","487.25","487.00","-4.02%"
"Jun 21, 2020","487.17","469.43","487.17","464.39","4.96%"
"Jun 14, 2020","464.15","477.12","477.12","477.12","-2.14%"
"Jun 07, 2020","474.30","451.75","451.75","451.75","-7.20%"
"May 31, 2020","511.08","535.75","535.75","535.75","-5.49%"
"May 24, 2020","540.75","549.62","549.62","549.62","0.18%"
"May 17, 2020","539.79","616.16","616.16","616.16","-12.97%"
"May 10, 2020","620.24","643.15","643.15","643.15","-3.56%"
"May 03, 2020","643.15","594.30","594.30","594.30","12.63%"
"Apr 26, 2020","571.02","594.90","594.90","594.90","-4.75%"
"Apr 19, 2020","599.47","623.40","623.40","623.40","-0.77%"
"Apr 12, 2020","604.15","521.56","521.56","521.56","45.65%"
"Apr 05, 2020","414.79","642.42","642.42","642.42","-30.13%"
"Mar 29, 2020","593.67","414.79","414.79","414.79","43.13%"
"Mar 22, 2020","414.79","582.30","582.30","582.30","-28.77%"
"Mar 15, 2020","582.30","456.41","456.41","456.41","19.05%"
"Mar 08, 2020","489.12","381.63","381.63","381.63","51.59%"
"Mar 01, 2020","322.66","368.09","368.09","368.09","0.00%"
"Feb 23, 2020","322.65","300.67","300.67","300.67","12.92%"
"Feb 16, 2020","285.74","263.30","263.30","263.30","7.75%"
"Feb 09, 2020","265.19","256.40","256.40","256.40","11.07%"
"Feb 02, 2020","238.75","238.29","238.29","238.29","1.28%"
"Jan 26, 2020","235.74","236.49","236.49","236.49","-1.19%"
"Jan 19, 2020","238.59","246.34","246.34","246.34","-3.54%"
"Jan 12, 2020","247.34","269.74","269.74","269.74","-9.59%"
"Jan 05, 2020","273.59","282.34","282.34","282.34","1.51%"
"Dec 29, 2019","269.52","278.33","278.33","278.33","-3.52%"
"Dec 22, 2019","279.34","280.22","280.22","280.22","-0.67%"
"Dec 15, 2019","281.22","289.03","289.03","289.03","-7.06%"
